name,course,grade
Ben,Python,92
Maya,SQL,88
Jordan,Linux,79
Ava,Git,91
Noah,Terminal,84
Sofia,Python,95
Liam,SQL,82
Emma,Linux,87
Ethan,Git,76
Olivia,Terminal,90
Lucas,Python,85
Amelia,SQL,93
Mason,Linux,81
Isabella,Git,89
Logan,Terminal,78
Mia,Python,96
Elijah,SQL,86
Charlotte,Linux,92
James,Git,83
Harper,Terminal,88
Henry,Python,74
Evelyn,SQL,91
Alexander,Linux,85
Abigail,Git,94
Daniel,Terminal,80
Ella,Python,89
Michael,SQL,77
Scarlett,Linux,93
Sebastian,Git,86
Victoria,Terminal,82
Jack,Python,97
Aria,SQL,84
Owen,Linux,88
Grace,Git,90
Samuel,Terminal,75
Chloe,Python,87
Matthew,SQL,92
Layla,Linux,80
Joseph,Git,95
Nora,Terminal,86
David,Python,83
Zoey,SQL,89
Carter,Linux,91
Hannah,Git,78
Wyatt,Terminal,94
Lily,Python,81
John,SQL,96
Aurora,Linux,84
Luke,Git,88
Riley,Terminal,93
